State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,813479,0,1266546,9,19794
Alaska,123594,0,193841,3,8762
Arizona,1034707,0,1230111,10,28657
Arkansas,422310,0,638017,6,26290
California,8274473,55,5011781,0,275646
Colorado,1288633,9,1073629,0,39200
Connecticut,997772,7,629428,0,19597
Delaware,255459,3,152374,0,4579
District of Columbia,245800,3,17367,0,2686
Florida,4282074,27,4045624,0,63046
Georgia,1844123,0,2048759,15,31604
Hawaii,325871,4,120566,0,7131
Idaho,236440,0,403012,4,15670
Illinois,3419348,21,2031179,0,71844
Indiana,1374039,11,1345648,0,31367
Iowa,828940,7,682379,0,25804
Kansas,514765,0,699655,6,21452
Kentucky,751985,0,1048462,8,26173
Louisiana,782989,0,1148275,9,29497
Maine,421923,2,295273,0,13967
ME-1,232145,1,144604,0,6877
ME-2,189778,1,150669,0,7090
Maryland,1629467,10,959862,0,42267
Massachusetts,1904097,12,1108854,0,68034
Michigan,2872579,17,2048639,0,80548
Minnesota,1573354,10,1275409,0,61606
Mississippi,554662,0,724597,6,10606
Missouri,1441911,0,1445814,11,37480
Montana,231667,0,242763,3,15872
Nebraska,333319,0,452979,2,14983
NE-1,121411,0,148179,1,4303
NE-2,138809,1,135439,0,3561
NE-3,73099,0,169361,1,4282
Nevada,533736,5,412827,0,21285
New Hampshire,384826,4,316534,0,9610
New Jersey,2215422,15,1613207,0,39608
New Mexico,472422,5,346832,0,10904
New York,4804945,31,2752771,0,83215
North Carolina,2142651,15,2128474,0,39664
North Dakota,141278,0,168601,3,6742
Ohio,2940044,20,2677820,0,90486
Oklahoma,502496,0,960165,7,0
Oregon,1037291,7,738475,0,52098
Pennsylvania,3276363,21,2655885,0,81024
Rhode Island,296571,4,165391,0,9804
South Carolina,862449,0,1034896,8,23624
South Dakota,170924,0,203054,3,7997
Tennessee,1087437,0,1479178,11,33134
Texas,3528633,0,4479328,34,69834
Utah,327670,0,596030,5,28670
Vermont,219262,3,98974,0,6810
Virginia,1959532,13,1725005,0,38723
Washington,1750848,11,1229216,0,56814
West Virginia,303857,0,397466,5,12128
Wisconsin,1677211,10,1262393,0,43813
Wyoming,82868,0,164958,3,6832
